nm,soil_11,soil_14,soil_16-1,soil_23,soil_66kyr,soil_7,soil_9
606,0.310176849,0.377420574,0.496410578,0.43045938,0.255378336,0.237111658,0.333489656
607,0.310976744,0.378528506,0.497132719,0.430946022,0.255903333,0.238373697,0.334651858
608,0.311750144,0.379648983,0.497849017,0.431412548,0.256425411,0.239592209,0.33579582
609,0.312481165,0.380783796,0.498550981,0.431877166,0.256952196,0.2407628,0.33692795
610,0.313225299,0.381810516,0.499157012,0.432307094,0.257397532,0.241908699,0.337967128
611,0.313974619,0.382850409,0.499817312,0.432748586,0.257887214,0.243029088,0.339024007
612,0.314727843,0.383911014,0.50052011,0.433214277,0.258418828,0.244137004,0.340098381
613,0.315481722,0.384928733,0.501149118,0.433694214,0.258907855,0.245248988,0.341118276
614,0.316225022,0.385925472,0.501777351,0.434109479,0.259337693,0.246318266,0.342134178
615,0.316941619,0.386910588,0.502408564,0.434508204,0.259759933,0.247352079,0.343139529
616,0.31761995,0.387882054,0.503028691,0.434950918,0.260227144,0.248364046,0.344110757
617,0.318302631,0.388817847,0.503648996,0.435346186,0.260667861,0.249343693,0.345044464
618,0.318993211,0.389708579,0.504225314,0.43573764,0.261100471,0.250308126,0.345971435
619,0.319679856,0.390563965,0.504748106,0.436147451,0.261527091,0.251253843,0.346894592
620,0.320326507,0.391449362,0.50531131,0.436517745,0.261883259,0.252126008,0.34774673
621,0.32100147,0.392350346,0.505881548,0.436900467,0.262282014,0.253011197,0.348616749
622,0.321698219,0.393223464,0.506436586,0.437283397,0.262725055,0.253920257,0.349500924
623,0.322338462,0.393990457,0.506961942,0.437588513,0.263105631,0.25479731,0.350308031
624,0.322996587,0.39481464,0.507526815,0.4379614,0.263498932,0.255655408,0.351136357
625,0.323655784,0.395670772,0.5080778,0.438350737,0.263888448,0.256485403,0.351954639
626,0.324273974,0.396468312,0.508531988,0.438647747,0.264230996,0.257279396,0.352698803
627,0.324890226,0.397215158,0.509010255,0.438963026,0.264540493,0.258086383,0.353462249
628,0.325503588,0.397942096,0.5095101,0.439280331,0.264847398,0.258889019,0.35422954
629,0.326113582,0.398683101,0.510009587,0.43958208,0.265181243,0.259671748,0.354977578
630,0.326731384,0.399456501,0.510471761,0.439904302,0.265560061,0.260445863,0.355694562
631,0.327349275,0.400234818,0.510977447,0.440231591,0.265943974,0.261223197,0.356436074
632,0.32796669,0.400998473,0.511532784,0.440555364,0.266307324,0.261993617,0.357210517
633,0.328589022,0.401726902,0.512033522,0.440871656,0.266636252,0.262701601,0.357956469
634,0.329220533,0.402479142,0.512515426,0.441218466,0.266968757,0.263443172,0.358667791
635,0.329839379,0.403239578,0.512994528,0.441557974,0.267305583,0.264204651,0.359364182
636,0.33040905,0.403951615,0.51347816,0.441817433,0.267627358,0.264916867,0.360076606
637,0.330978304,0.404630572,0.513931692,0.442094326,0.267935485,0.265630633,0.360783339
638,0.331593633,0.405341983,0.514427483,0.442419946,0.268262595,0.266350448,0.36150679
639,0.332268238,0.406123102,0.515011847,0.442784578,0.268627375,0.267070711,0.36225602
640,0.332899183,0.406858355,0.515542924,0.443071157,0.268971682,0.267801374,0.362962395
641,0.333479404,0.407569915,0.516009331,0.44335708,0.269283175,0.26851368,0.363651365
642,0.334029824,0.408274531,0.516439021,0.443674833,0.269574165,0.269194722,0.364334792
643,0.334621757,0.408977747,0.516930819,0.443964064,0.269905984,0.26986298,0.364992887
644,0.335201383,0.409623206,0.517395973,0.4442195,0.270211607,0.270542175,0.365656853
645,0.335754395,0.410241455,0.517831981,0.444465965,0.270491302,0.271233708,0.36632961
646,0.336291701,0.41092515,0.51829052,0.444754541,0.27078855,0.271925747,0.366999239
647,0.336914629,0.411673635,0.518812239,0.445098579,0.2711308,0.272655576,0.367710382
648,0.337554753,0.412411511,0.519338191,0.445435792,0.271463871,0.273374766,0.36842224
649,0.33812359,0.413072854,0.519800365,0.44570604,0.271736085,0.274036855,0.369089216
650,0.338685662,0.413766742,0.520232081,0.445984155,0.272043854,0.274720699,0.369756758
651,0.339268655,0.414449662,0.520698428,0.446272254,0.272361487,0.275422812,0.370427907
652,0.33988443,0.415115446,0.521225512,0.446577817,0.272677124,0.276133895,0.371110678
653,0.340524018,0.415881157,0.521753669,0.446946979,0.273038656,0.276845306,0.371839553
654,0.341120332,0.416597813,0.52225703,0.447269976,0.273381323,0.277552038,0.372526973
655,0.341691673,0.417265564,0.522749484,0.447553903,0.273705184,0.278258115,0.373183727
656,0.342331558,0.418008298,0.523282409,0.447906226,0.274064511,0.278974026,0.373904169
657,0.342898369,0.41865477,0.523736894,0.448187113,0.274355888,0.279641896,0.374569595
658,0.343430847,0.419258267,0.52414602,0.44841975,0.274625093,0.280296236,0.375182897
