,Q1,Q1.5a,Q2,Q2.5a,Q2.5b,Q3,Q4,Q5,Q6,Q7,Q8 (modern)
B103_mean,-0.9001843047398129,-0.8467462398838804,-0.9643314646630633,-0.962450228433963,-0.8921889668745475,-1.3179766045450412,-0.7633845034371823,-1.1291571767708775,-1.00524102337733,-1.0896367634657582,-1.2148962081055028
B104_mean,-2.079159898896237,-2.007596535859059,-2.2162763970282175,-2.2308964791568626,-2.0162487520372516,-2.2374124558899786,-1.7940012253034274,-2.2610567614125596,-2.1537191977087478,-2.243581559547649,-2.380577062106802
B105_mean,-2.2450752994973167,-2.206949439872516,-2.239602202410678,-2.264748919970006,-2.260917765890779,-2.233576621416708,-2.120946503371393,-2.3008528336940746,-2.2221023664424195,-2.293108410661465,-2.355066080918666
B106_mean,-2.2087760837375043,-2.174920872728472,-2.196709069179782,-2.232128688687083,-2.240633051863675,-2.183289215073532,-2.0881010196424614,-2.2623733681648126,-2.179041482856444,-2.255744037652458,-2.3134115060309854
B107_mean,-2.1356714333295024,-2.0909198598575944,-2.1092625231047935,-2.172528961348352,-2.167862744505445,-2.140177358146149,-1.9838596761137925,-2.179351851108115,-2.0913811802775313,-2.159816920064394,-2.231238499599923
B108_mean,-1.952709136265039,-1.91344012496858,-1.9598966119732433,-2.019588099317111,-1.9771896628617387,-2.1304219123461148,-1.759242814393065,-2.112436127177021,-1.9940670752020067,-2.0868898467694534,-2.2136746146201007
B109_mean,-1.8332126037785814,-1.7871564755962313,-1.7859603933827597,-1.8444719628091777,-1.8759677501096244,-1.5749070828472385,-1.689790479449747,-1.900437648109004,-1.768488508400136,-1.8973793115608357,-1.9605410203987703
B110_mean,-1.519690487570778,-1.4638521086583098,-1.4712623100338298,-1.541395062827792,-1.5645399686676489,-1.4609064535086813,-1.3692715404144582,-1.592949786588328,-1.469099040246637,-1.5847446197056883,-1.6524977691246188
B111_mean,-1.37879676061438,-1.3254046021240842,-1.3444308788310697,-1.400932761684675,-1.412267182614834,-1.3287183402362277,-1.237187826978627,-1.4645666138440887,-1.3391263106678268,-1.4442322257465146,-1.5233887549013367
B112_mean,-1.0381412463686768,-0.9891050766321631,-0.9885577735091052,-1.0350003291013226,-1.0987136051687112,-0.8948076767384886,-0.9261733935634296,-1.0912739399661184,-0.972880421243367,-1.070971449264296,-1.128156183995891
B113_mean,0.06744044639256924,0.08439001755109928,0.04656349796644928,0.11721466961575461,0.0518083511848029,-0.14165229387879796,0.07084360736871391,-0.04380598819956397,0.017722882860423075,-0.0044038447698807985,-0.06609008829741993
B114_mean,-0.12142399608748734,-0.09366807767080373,-0.14274066956613832,-0.09393020143027025,-0.1345548505395526,-0.3007435330607123,-0.08957874658889003,-0.2406745658592157,-0.16151145736484246,-0.1982311744812081,-0.2700280593674114
B115_mean,0.12263981404518784,0.13635183812344764,0.11970378327691951,0.17404109140615795,0.08180882781862697,0.07095013554297304,0.1276170605777606,0.041252725373117735,0.11222974743785574,0.08116815755674085,0.03663301296041929
