,Q1,Q1.5a,Q2,Q2.5a,Q2.5b,Q3,Q4,Q5,Q6,Q7,Q8 (modern)
B61_mean,0.2729140475115897,-0.10680483363037102,-0.1820445407209787,0.2044444927930982,-0.44815813990433956,-0.5171588723107982,-0.18615467982129602,-0.4640767355334947,-0.5191226497789373,-0.44466248718097484,-0.11371060525026741
B62_mean,0.05111246571620046,-0.24422534732185708,-0.25742831564205065,0.06583718909393149,-0.7145423900791149,-0.19696280528807683,-0.29397195588146247,-0.4983799473585046,-0.5659554081510187,-0.5674785031253966,-0.08556037192787072
B63_mean,0.22127057429654287,-0.12581073987590544,-0.2288841273217327,0.14928366908957708,-0.5470917796398579,-0.33347186079135793,-0.24879206212127494,-0.5354947752895336,-0.5932229614090678,-0.6346956643167478,-0.09393407847713307
B64_mean,0.5547190039198255,0.2272782109034119,-0.033086206922534715,0.30282253598102427,0.03393275912591273,-1.1142450011373932,0.17440338339057487,-0.4941736935768707,-0.43032573057999907,-0.688724083371151,-0.3090172397836384
B65_mean,0.4998625926823889,0.14470430418983243,0.009037433560955386,0.16093296728257123,-0.2196925779896119,-1.0788926384815156,0.09228150345188135,-0.5534924944628958,-0.4170059595395352,-0.6969400706368498,-0.31897256831772725
B66_mean,0.12122964544746827,-0.09593486165926234,-0.1030179822799055,-0.02016518544278614,-0.67572537764159,-0.5543900986387144,-0.04184105400512554,-0.5293920590894577,-0.40986158137670986,-0.845926607333631,-0.21923761968885389
B67_mean,0.08788162213588063,-0.14777946763786268,-0.14387001478975436,0.03833494897656889,-0.7124032185248218,-0.5590303690853242,-0.13988743319020275,-0.5087572886149366,-0.5024672716591697,-0.7392916327188863,-0.15121628202513387
B68_mean,0.24761112991657117,-0.04458253674796421,-0.105901220326885,0.1164424631983514,-0.5813844411953956,-0.7411024643457484,-0.133237264519549,-0.5878765898128165,-0.5150005637315908,-0.6536240781812256,-0.1456378634596857
B69_mean,0.24409537160214614,-0.043260584455059745,-0.12078767405924255,0.14418541232466173,-0.6171233118148257,-0.7030021764429116,-0.13972445758425883,-0.5634995073742658,-0.5144803685497593,-0.611968751481877,-0.14255534535637526
B70_mean,0.3458587933149867,0.009535088245327651,-0.0908858871672159,0.1651955742948409,-0.5469138198087299,-0.6754482021605551,-0.10262968177518154,-0.5711980065566556,-0.5064330125398113,-0.6402546878342887,-0.1330995168169152
B71_mean,0.3154001761999946,0.02831789474118138,-0.07593972113062776,0.2390743779174663,-0.566370659856732,-0.6591995973761612,-0.10611328535222682,-0.6412676818361459,-0.5116591958501734,-0.7782381907906509,-0.1516385770910053
B72_mean,0.4893274894461526,0.108110870180114,-0.015186825161632375,0.3159263103768319,-0.38009101633573433,-0.7781952437951033,-0.06958637767010882,-0.5993232966344523,-0.4844968012548725,-0.6921736026143854,-0.17993851144474587
B73_mean,0.7056363921226879,0.27148484774495246,0.03860112885629181,0.48779083664598755,-0.1344688479472571,-0.8168610677645954,0.011411225236958412,-0.5915435213579859,-0.4299713920439685,-0.6120645869186181,-0.2399942118202631
B74_mean,0.7158879142167175,0.2909625318050908,0.0408139651259884,0.5108307076675024,-0.1256551932142981,-0.623271848728443,0.017540635916744783,-0.6527839876033683,-0.4495090308303306,-0.6914828094913079,-0.2699616766645375
B75_mean,0.5470994171549598,0.18878365846263234,0.005021585317237792,0.42587031426540284,-0.35928646167271705,-0.4084138123924454,-0.034277967291803574,-0.712217675642312,-0.45951279645421667,-0.7921992428734936,-0.25822954396959735
B76_mean,0.4931318350080977,0.18698789833010268,-0.007303280771787931,0.4164355549952258,-0.48647187158762983,-0.32605388595787727,-0.06140576619989118,-0.7752995839521168,-0.46145551745757923,-0.8649563855273084,-0.2549971503428361
B77_mean,0.51757330985338,0.21505969331163652,-0.004015815727677773,0.4308776945207314,-0.5012060017630935,-0.307562785787368,-0.03989680595609524,-0.8159793218378363,-0.44277660076835873,-0.8866576170073264,-0.26914491265530266
B78_mean,0.5510641544048092,0.2364064214075203,0.016256983245933963,0.4936490759285943,-0.4785193962940882,-0.3500568029305222,-0.015433912854570476,-0.8537413286012416,-0.4355146361709926,-0.9045370218677874,-0.2762356706660177
B79_mean,0.5872611424347705,0.29144405373979193,0.052818548816769485,0.5503063580992259,-0.4507066647399834,-0.43539740847157327,0.002372445341693291,-0.8754488371670464,-0.423468330052754,-0.9022731526955223,-0.3059460900649814
B80_mean,0.7484222000174398,0.38603834760321176,0.12497882848881658,0.6361088101477372,-0.29194898863498003,-0.6455793935201899,0.07865648814560891,-0.8678792791139773,-0.38665081375477217,-0.858169732472589,-0.32957049872042704
B81_mean,1.0435355438470026,0.5751282761140875,0.27662511835654335,0.6904436448315394,0.09886297911866941,-1.2296245527069833,0.25610763833903794,-0.7412288016280727,-0.2672918776224616,-0.5547129686724277,-0.4172627799950796
B82_mean,1.3261174281682047,0.7628974703470707,0.4375034370806978,0.7149714874574224,0.637039235739446,-1.5892614786273707,0.5281241106343414,-0.7016122624027319,0.011263389631887655,-0.42612590274069584,-0.6774663966973606
B83_mean,0.3611054269232264,0.17134330751238142,0.0688715064518572,0.517327707320136,-0.7410360267344175,-0.4531304466768383,0.0846776728370734,-0.8985626962450786,-0.2732808826751325,-0.9315616183607259,-0.31836483713128516
B84_mean,0.9613319571856888,0.5846754837822868,0.2538905591959513,0.8887060910143655,0.11735177248906162,-1.1577502857610993,0.3200169943135301,-0.7851580593948048,-0.18837220001417376,-0.6314921214717386,-0.46938724129362486
B85_mean,0.46562760529985187,0.248074802218925,0.08870191360086206,0.5739594049535302,-0.5440364727017183,-0.4534599031006894,0.11878541136846471,-0.8734384297617037,-0.18905661105328828,-0.7286207305687762,-0.3387138832542507
B86_mean,0.679205824765926,0.370331638019885,0.17075693321384264,0.8310716822143192,-0.32450391582585225,-0.47571855505552796,0.12866198773803467,-0.752039385792774,-0.22286937640931126,-0.580610537432268,-0.3142325373606438
B87_mean,0.8648905162163882,0.49783385546954856,0.21950174002698697,0.9670196012266324,-0.04347504820503852,-0.5023146272993364,0.16350438974309392,-0.8150691930356803,-0.2005610239461136,-0.5524355535575403,-0.38540953977263426
B88_mean,0.8057550628425217,0.43443678310817263,0.17855583238001513,0.9847020745249617,-0.18908044238541155,-0.3820770110771252,0.12326214754422991,-0.8402903991231451,-0.21380974264965535,-0.5743840648308195,-0.35101352916514017
B89_mean,0.7742199367671363,0.43334706567753334,0.16897946347963733,1.005464229075878,-0.25067768329976203,-0.30771566987839166,0.09654815388560872,-0.8830731800326354,-0.22568370924182637,-0.6273393925116899,-0.34163450310404453
B90_mean,0.7274539806708803,0.4013431122326138,0.15592399000515084,0.9878310218699183,-0.3355508218185233,-0.18334503524285806,0.08143725942202246,-0.8883730316038916,-0.20375468091721813,-0.6490552048455874,-0.3375586924694179
B91_mean,0.7162805499276271,0.3906028588602718,0.1461259529847873,0.9690131171623064,-0.3630003265487894,-0.13046063401930572,0.08384751584429807,-0.9603008474129032,-0.2042453559922751,-0.6869560818632885,-0.34290474459027415
B92_mean,0.731258718868532,0.41990423999630905,0.15054692410139245,0.9765219856272996,-0.35028845334224484,-0.07035254232097936,0.07887675986301741,-0.9826932464333828,-0.1860873847360616,-0.6730200073560112,-0.36215876704490163
B93_mean,0.6930223809561056,0.40363521348249054,0.15309027276523177,0.9819582878423573,-0.43495562124380216,-0.016078027399988128,0.08812053251263269,-1.0273145822394658,-0.1956299075922019,-0.7344723475395373,-0.358852348048808
B94_mean,0.7166204742943485,0.4310340551699558,0.19874041511300278,0.9569963684354756,-0.4274654761531072,-0.03494485188353661,0.12709716727159204,-0.9915273268940541,-0.14145384604891095,-0.7083949438257717,-0.3826311477703165
B95_mean,0.8566029579483396,0.599597385692954,0.2597437905559088,0.9900091781079678,-0.28965377873431314,-0.15430772339159113,0.22477430484945157,-1.078192150205179,-0.08644434112613794,-0.7387716296125949,-0.4522037533978386
B96_mean,0.93299121709535,0.6591240123515449,0.26154857003765125,1.0951577327027229,-0.19202522850455897,-0.20639291723150477,0.2706213799964725,-1.1178030685537248,-0.08894488970190548,-0.7321768503551344,-0.4696068367054524
B97_mean,0.874451981048493,0.5934052003750072,0.22475207140272324,1.1347014821876817,-0.21643662857292428,-0.13500778253416032,0.2185303019467361,-1.1121251478870764,-0.12578793402941107,-0.7731166810834067,-0.4370609046409448
B98_mean,0.8944157400876194,0.6293559284634526,0.2568155815749438,1.1621372856269812,-0.18609029097141433,-0.20128826040273226,0.24785954478198438,-1.1008956531577347,-0.08818520442631657,-0.7516081030962404,-0.4525326537990842
B99_mean,0.9030129897726575,0.6589628283649709,0.2739991737458063,1.129484183319743,-0.13538026412257484,-0.26963965637073756,0.2744258417977193,-1.1303687973721563,-0.07967012006682864,-0.7369938011305673,-0.4573608553954807
B100_mean,0.9362846454384689,0.7044451329289647,0.30307679786277286,1.176256034851916,-0.09066880800569115,-0.36698056720506206,0.2952166907778252,-1.099262179965994,-0.04437571534871275,-0.6725041181390714,-0.43693302697982694
B101_mean,0.9504148194027355,0.7454634124743803,0.3630495792698842,1.156634481113787,-0.035358161775811366,-0.5541516871248771,0.37681017324412386,-0.9756575753181383,0.01875082651272021,-0.5192101465162422,-0.43236142721610243
B102_mean,1.2194463545457572,0.9873883961710281,0.47073218600427696,1.2839045246479501,0.3707569813618093,-1.2590088673559432,0.5326963403292133,-0.9834418044703153,0.09351351769340899,-0.36943989399631805,-0.5030808330187702
B103_mean,2.2066701505926756,1.4481194236261359,1.0953408103464564,1.0518689144278641,1.954923885904263,-2.337422982071948,1.2190299073532036,-0.3952744948111003,0.8422499834512517,0.14307985635233536,-1.1132774032678365
B104_mean,-1.8690680613422828,-3.402258738707747,-2.0401702781020217,-3.355978533679464,-9.309098428879036,-5.491996133709155,-3.267748366880465,-9.001568912576372,1.3545254893625027,-10.756445413843016,-7.332456679803432
B105_mean,0.17624958945849745,2.0913488883527753,1.0120649553477619,-3.8376960780490244,0.5676231796955612,-2.6582914562124498,3.3601894125245866,-2.0487423944042042,2.2371226247449054,0.4275895412028725,-2.4848876359337297
B106_mean,-0.10118611675871958,1.2093172274174733,1.140862042051735,-3.6241659262058823,-1.514474418940084,-0.6585163081935568,2.5334943781285606,-1.5091515442638515,2.136853001378438,-0.18949985209017073,-1.7455265328642067
