Age,dO18,1std
453,-0.47,0.15
454,-0.47,0.15
455,-0.47,0.16
456,-0.49,0.2
457,-0.52,0.25
458,-0.51,0.22
459,-0.5,0.2
460,-0.47,0.2
461,-0.43,0.2
462,-0.41,0.19
463,-0.43,0.17
464,-0.43,0.16
465,-0.38,0.27
466,-0.39,0.18
467,-0.39,0.15
468,-0.35,0.16
469,-0.32,0.17
470,-0.28,0.19
471,-0.26,0.19
472,-0.24,0.22
473,-0.23,0.23
474,-0.24,0.25
475,-0.24,0.27
476,-0.26,0.28
477,-0.24,0.19
478,-0.24,0.18
479,-0.22,0.2
480,-0.2,0.26
481,-0.2,0.29
482,-0.15,0.28
483,-0.09,0.27
484,-0.04,0.28
485,-0.01,0.29
486,0,0.3
487,0.03,0.31
488,0.08,0.3
489,0.13,0.3
490,0.15,0.31
491,0.17,0.33
492,0.2,0.34
493,0.22,0.35
494,0.26,0.33
495,0.31,0.32
496,0.33,0.32
497,0.34,0.34
498,0.34,0.36
499,0.32,0.37
500,0.28,0.34
501,0.24,0.31
502,0.24,0.28
503,0.23,0.27
504,0.23,0.29
505,0.23,0.3
506,0.22,0.33
507,0.21,0.37
508,0.18,0.41
509,0.15,0.44
510,0.15,0.43
511,0.14,0.39
512,0.13,0.36
513,0.12,0.32
514,0.12,0.29
515,0.11,0.27
516,0.09,0.27
517,0.06,0.24
518,0.03,0.2
519,0.03,0.15
520,0.02,0.14
521,0.02,0.15
522,0.01,0.15
523,-0.01,0.14
524,-0.02,0.12
525,-0.02,0.14
526,0,0.18
527,0.02,0.21
528,0.05,0.19
529,0.09,0.16
530,0.12,0.15
531,0.14,0.16
532,0.14,0.15
533,0.15,0.14
534,0.16,0.15
535,0.18,0.17
536,0.2,0.18
537,0.2,0.16
538,0.19,0.16
539,0.17,0.18
540,0.14,0.19
541,0.11,0.19
542,0.09,0.18
543,0.08,0.18
544,0.05,0.2
545,0,0.21
546,-0.05,0.24
547,-0.08,0.27
548,-0.08,0.29
549,-0.08,0.3
550,-0.09,0.32
551,-0.11,0.31
552,-0.1,0.28
553,-0.07,0.26
554,-0.1,0.28
555,-0.1,0.25
556,-0.1,0.22
557,-0.1,0.25
558,-0.1,0.28
559,-0.13,0.3
560,-0.15,0.34
561,-0.14,0.34
562,-0.13,0.34
563,-0.13,0.35
564,-0.16,0.39
565,-0.19,0.45
566,-0.19,0.48
567,-0.15,0.47
568,-0.07,0.44
569,0,0.42
570,0.05,0.45
571,0.11,0.46
572,0.15,0.43
573,0.19,0.4
574,0.23,0.38
575,0.26,0.37
576,0.3,0.36
577,0.32,0.36
578,0.32,0.36
579,0.32,0.37
580,0.32,0.38
581,0.34,0.39
582,0.37,0.41
583,0.41,0.42
584,0.41,0.38
585,0.36,0.37
586,0.31,0.4
587,0.27,0.36
588,0.23,0.3
589,0.19,0.29
590,0.16,0.29
591,0.17,0.26
592,0.18,0.24
593,0.16,0.22
594,0.13,0.2
595,0.09,0.2
596,0.1,0.2
597,0.13,0.19
598,0.19,0.19
599,0.24,0.17
600,0.27,0.15
601,0.26,0.1
602,0.23,0.14
603,0.19,0.23
604,0.19,0.26
605,0.21,0.27
606,0.16,0.3
607,0.11,0.35
608,0.11,0.37
609,0.11,0.38
610,0.08,0.38
611,0.04,0.45
612,0.05,0.49
613,0.09,0.48
614,0.15,0.49
615,0.2,0.5
616,0.18,0.49
617,0.17,0.48
